workOrderId,personId,description,status,plannedStartDate,startDate,plannedEndDate,endDate,priority,assetId,problemType,createdAt,updatedAt
1,3,"Inspect chiller compressor and condenser coils","COMPLETED","2025-01-15T02:00:00Z","2025-01-15T02:05:00Z","2025-01-15T03:00:00Z","2025-01-15T02:50:00Z","HIGH",1,"MECHANICAL","2025-01-05T10:00:00Z","2025-01-15T02:50:00Z"
1,4,"Test and record chiller vibration levels","COMPLETED","2025-01-15T03:00:00Z","2025-01-15T03:05:00Z","2025-01-15T04:30:00Z","2025-01-15T04:15:00Z","MEDIUM",1,"INSPECTION","2025-01-05T10:00:00Z","2025-01-15T04:15:00Z"
2,3,"Diagnose emergency stop circuit on Conveyor A","IN_PROGRESS","2025-01-18T04:30:00Z","2025-01-18T04:35:00Z","2025-01-18T06:30:00Z",,"CRITICAL",2,"ELECTRICAL","2025-01-18T02:15:00Z","2025-01-18T05:45:00Z"
2,4,"Inspect and repair wiring harness","PENDING","2025-01-18T06:30:00Z",,,"2025-01-18T08:00:00Z","MEDIUM",16,"ELECTRICAL","2025-01-18T02:15:00Z","2025-01-18T05:45:00Z"
3,3,"Prepare isolation plan for Compressor-02","PENDING","2025-01-20T08:00:00Z",,,"2025-01-20T10:00:00Z","LOW",3,"SAFETY","2025-01-19T11:00:00Z","2025-01-19T11:00:00Z"
4,4,"Lubricate main gate valve actuators (North Section)","COMPLETED","2025-01-12T08:00:00Z","2025-01-12T08:15:00Z","2025-01-12T09:30:00Z","2025-01-12T09:15:00Z","MEDIUM",5,"MECHANICAL","2025-01-09T06:00:00Z","2025-01-12T09:15:00Z"
5,3,"Perform thermal scan of MCC-4 (Section A)","IN_PROGRESS","2025-01-20T01:00:00Z","2025-01-20T01:05:00Z","2025-01-20T03:00:00Z",,"HIGH",6,"INSPECTION","2025-01-18T13:00:00Z","2025-01-20T02:30:00Z"
5,4,"Document thermal scan findings","PENDING","2025-01-20T03:00:00Z",,,"2025-01-20T04:00:00Z","LOW",7,"SOFTWARE","2025-01-18T13:00:00Z","2025-01-18T13:00:00Z"
6,3,"Prepare calibration equipment for LT-201/202","PENDING","2025-01-23T07:00:00Z",,,"2025-01-23T08:00:00Z","MEDIUM",11,"INSPECTION","2025-01-17T15:45:00Z","2025-01-17T15:45:00Z"
6,4,"Calibrate LT-201 level transmitter","PENDING","2025-01-23T08:00:00Z",,,"2025-01-23T10:00:00Z","MEDIUM",12,"CALIBRATION","2025-01-17T15:45:00Z","2025-01-17T15:45:00Z"
7,3,"Inspect bearings on north abutment","IN_PROGRESS","2025-01-22T06:00:00Z","2025-01-22T06:15:00Z","2025-01-22T09:00:00Z",,"HIGH",9,"INSPECTION","2025-01-20T08:00:00Z","2025-01-22T07:30:00Z"
7,4,"Capture structural photos for bridge report","PENDING","2025-01-22T09:00:00Z",,,"2025-01-22T11:00:00Z","MEDIUM",20,"SAFETY","2025-01-20T08:05:00Z","2025-01-20T08:05:00Z"
8,3,"Upload interlocking logic to controller","IN_PROGRESS","2025-01-15T02:00:00Z","2025-01-15T02:10:00Z","2025-01-15T04:00:00Z","2025-01-15T03:45:00Z","HIGH",13,"SOFTWARE","2025-01-14T01:00:00Z","2025-01-15T03:45:00Z"
8,4,"Run verification tests on updated logic","PENDING","2025-01-15T04:00:00Z",,,"2025-01-15T06:00:00Z","MEDIUM",13,"SOFTWARE","2025-01-14T01:05:00Z","2025-01-14T01:05:00Z"
9,3,"Inspect passenger door sensors on coach three","IN_PROGRESS","2025-01-19T08:00:00Z","2025-01-19T08:10:00Z","2025-01-19T10:00:00Z",,"MEDIUM",14,"ELECTRONIC","2025-01-18T10:00:00Z","2025-01-19T08:45:00Z"
9,4,"Update door controller firmware","PENDING","2025-01-19T10:00:00Z",,,"2025-01-19T12:00:00Z","HIGH",14,"SOFTWARE","2025-01-18T10:05:00Z","2025-01-18T10:05:00Z"
10,3,"Remove degraded brake valve assembly","COMPLETED","2025-01-16T05:00:00Z","2025-01-16T05:10:00Z","2025-01-16T06:30:00Z","2025-01-16T06:00:00Z","HIGH",18,"MECHANICAL","2025-01-15T12:00:00Z","2025-01-16T06:00:00Z"
10,4,"Install calibrated replacement brake valve","IN_PROGRESS","2025-01-16T06:30:00Z","2025-01-16T06:35:00Z","2025-01-16T08:00:00Z",,"HIGH",19,"MECHANICAL","2025-01-15T12:10:00Z","2025-01-16T06:45:00Z"
11,3,"Deploy partial discharge sensors","PENDING","2025-01-21T02:00:00Z",,,"2025-01-21T03:00:00Z","MEDIUM",10,"INSPECTION","2025-01-18T09:00:00Z","2025-01-18T09:00:00Z"
12,3,"Isolate DC system before battery swap","COMPLETED","2025-01-09T07:00:00Z","2025-01-09T07:05:00Z","2025-01-09T08:00:00Z","2025-01-09T07:45:00Z","MEDIUM",15,"SAFETY","2025-01-08T15:00:00Z","2025-01-09T07:45:00Z"
