status,type,priority,description,origin,notes,resolutionNotes,startDate,endDate,earliestStartDate,latestStartDate,dueDate,createdById,createdAt,updatedAt
IN_PROGRESS,PREVENTIVE,HIGH,"Oil analysis and bushing inspection for Main Transformer Station A001","Grid Reliability Program","Collect dissolved gas samples","",2025-01-08T05:30:00Z,,2025-01-06T00:00:00Z,2025-01-10T00:00:00Z,2025-01-12T00:00:00Z,1,2025-01-04T09:00:00Z,2025-01-08T07:15:00Z
PLANNED,INSPECTION,HIGH,"Relay coordination test for North and East Substations","Protection Study","Coordinate outage with dispatch","",2025-01-14T07:00:00Z,2025-01-14T15:00:00Z,2025-01-12T00:00:00Z,2025-01-16T00:00:00Z,2025-01-18T00:00:00Z,2,2025-01-09T11:20:00Z,2025-01-09T11:20:00Z
IN_PROGRESS,MAINTENANCE,CRITICAL,"Hardware replacement on Overhead Power Line Segments 1 and 2","Field Patrol","Hot sticks staged","",2025-01-11T03:45:00Z,,2025-01-10T00:00:00Z,2025-01-12T00:00:00Z,2025-01-13T00:00:00Z,3,2025-01-10T02:10:00Z,2025-01-11T05:00:00Z
COMPLETED,INSPECTION,MEDIUM,"Thermal scan of Distribution Panel Zone A feeders","Predictive Maintenance","Recorded baseline photos","No anomalies found",2025-01-07T09:00:00Z,2025-01-07T11:00:00Z,2025-01-06T00:00:00Z,2025-01-08T00:00:00Z,2025-01-09T00:00:00Z,1,2025-01-05T08:30:00Z,2025-01-07T12:15:00Z
PLANNED,INSPECTION,MEDIUM,"Track geometry verification for Sections 1 and 2","Railway Ops","Hi-rail crew assigned","",2025-01-18T04:00:00Z,2025-01-18T12:00:00Z,2025-01-16T00:00:00Z,2025-01-20T00:00:00Z,2025-01-21T00:00:00Z,2,2025-01-12T14:40:00Z,2025-01-12T14:40:00Z
ON_HOLD,INSPECTION,HIGH,"Bridge bearing inspection for Railway Bridges A and B","Annual Structure Survey","Need river access permit","",,2025-01-25T18:00:00Z,2025-01-22T00:00:00Z,2025-01-26T00:00:00Z,2025-01-28T00:00:00Z,2,2025-01-13T10:05:00Z,2025-01-17T09:00:00Z
IN_PROGRESS,MAINTENANCE,HIGH,"Logic update for Signal Box North and Switch Point A","Signaling Upgrade","Upload new interlocking map","",2025-01-15T01:30:00Z,,2025-01-14T00:00:00Z,2025-01-16T00:00:00Z,2025-01-17T00:00:00Z,3,2025-01-14T00:15:00Z,2025-01-15T03:10:00Z
PLANNED,MAINTENANCE,MEDIUM,"Passenger Train PT-101 door system calibration","Fleet Program","Coach 3 flagged by crew","",2025-01-19T08:00:00Z,2025-01-19T12:00:00Z,2025-01-18T00:00:00Z,2025-01-21T00:00:00Z,2025-01-22T00:00:00Z,1,2025-01-15T09:45:00Z,2025-01-15T09:45:00Z
IN_PROGRESS,MAINTENANCE,HIGH,"Freight Train FT-205 brake valve replacement","Condition Monitoring","Spare kit staged at depot","",2025-01-16T05:00:00Z,,2025-01-15T00:00:00Z,2025-01-17T00:00:00Z,2025-01-18T00:00:00Z,1,2025-01-15T04:20:00Z,2025-01-16T06:30:00Z
PLANNED,INSPECTION,HIGH,"Partial discharge testing on Underground Cable Segments 1 and 2","Cable Health Program","Deploy mobile test van","",2025-01-21T02:00:00Z,2025-01-21T09:00:00Z,2025-01-20T00:00:00Z,2025-01-22T00:00:00Z,2025-01-23T00:00:00Z,2,2025-01-16T16:10:00Z,2025-01-16T16:10:00Z
COMPLETED,MAINTENANCE,MEDIUM,"Battery string replacement at Signal Box South","Asset Reliability","Old cells recycled","",2025-01-09T07:30:00Z,2025-01-09T10:00:00Z,2025-01-08T00:00:00Z,2025-01-10T00:00:00Z,2025-01-11T00:00:00Z,3,2025-01-07T06:55:00Z,2025-01-09T11:05:00Z
IN_PROGRESS,CORRECTIVE,MEDIUM,"Telematics diagnostics on Maintenance Vehicle MV-003","Fleet Alert","Data uplink intermittently offline","",2025-01-17T13:00:00Z,,2025-01-17T10:00:00Z,2025-01-18T00:00:00Z,2025-01-19T00:00:00Z,2,2025-01-17T09:30:00Z,2025-01-17T14:15:00Z
